"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2018,8,"Nou Barris",56,"Vallbona","Home","61 anys",10
2018,9,"Sant Andreu",57,"la Trinitat Vella","Home","61 anys",40
2018,9,"Sant Andreu",58,"Baró de Viver","Home","61 anys",20
2018,9,"Sant Andreu",59,"el Bon Pastor","Home","61 anys",59
2018,9,"Sant Andreu",60,"Sant Andreu","Home","61 anys",342
2018,9,"Sant Andreu",61,"la Sagrera","Home","61 anys",177
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Home","61 anys",101
2018,9,"Sant Andreu",63,"Navas","Home","61 anys",142
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","61 anys",212
2018,10,"Sant Martí",65,"el Clot","Home","61 anys",155
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","61 anys",84
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","61 anys",75
2018,10,"Sant Martí",68,"el Poblenou","Home","61 anys",157
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","61 anys",53
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Home","61 anys",125
2018,10,"Sant Martí",71,"Provençals del Poblenou","Home","61 anys",109
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Home","61 anys",132
2018,10,"Sant Martí",73,"la Verneda i la Pau","Home","61 anys",163
2018,1,"Ciutat Vella",1,"el Raval","Home","62 anys",176
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home","62 anys",77
2018,1,"Ciutat Vella",3,"la Barceloneta","Home","62 anys",78
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","62 anys",88
2018,2,"Eixample",5,"el Fort Pienc","Home","62 anys",183
2018,2,"Eixample",6,"la Sagrada Família","Home","62 anys",309
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home","62 anys",227
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","62 anys",194
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","62 anys",303
2018,2,"Eixample",10,"Sant Antoni","Home","62 anys",180
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home","62 anys",192
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","62 anys",12
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home","62 anys",190
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","62 anys",60
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home","62 anys",89
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home","62 anys",114
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home","62 anys",117
2018,3,"Sants-Montjuïc",18,"Sants","Home","62 anys",230
2018,4,"Les Corts",19,"les Corts","Home","62 anys",290
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","62 anys",148
2018,4,"Les Corts",21,"Pedralbes","Home","62 anys",50
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","62 anys",26
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","62 anys",124
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","62 anys",92
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","62 anys",130
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","62 anys",218
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","62 anys",142
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home","62 anys",77
2018,6,"Gràcia",29,"el Coll","Home","62 anys",39
2018,6,"Gràcia",30,"la Salut","Home","62 anys",61
2018,6,"Gràcia",31,"la Vila de Gràcia","Home","62 anys",208
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","62 anys",180
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","62 anys",155
2018,7,"Horta-Guinardó",34,"Can Baró","Home","62 anys",43
2018,7,"Horta-Guinardó",35,"el Guinardó","Home","62 anys",169
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","62 anys",51
2018,7,"Horta-Guinardó",37,"el Carmel","Home","62 anys",146
2018,7,"Horta-Guinardó",38,"la Teixonera","Home","62 anys",52
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","62 anys",32
2018,7,"Horta-Guinardó",40,"Montbau","Home","62 anys",16
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","62 anys",28
2018,7,"Horta-Guinardó",42,"la Clota","Home","62 anys",2
2018,7,"Horta-Guinardó",43,"Horta","Home","62 anys",148
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","62 anys",128
2018,8,"Nou Barris",45,"Porta","Home","62 anys",112
2018,8,"Nou Barris",46,"el Turó de la Peira","Home","62 anys",79
2018,8,"Nou Barris",47,"Can Peguera","Home","62 anys",9
2018,8,"Nou Barris",48,"la Guineueta","Home","62 anys",73
2018,8,"Nou Barris",49,"Canyelles","Home","62 anys",59
2018,8,"Nou Barris",50,"les Roquetes","Home","62 anys",73
2018,8,"Nou Barris",51,"Verdun","Home","62 anys",61
2018,8,"Nou Barris",52,"la Prosperitat","Home","62 anys",123
2018,8,"Nou Barris",53,"la Trinitat Nova","Home","62 anys",38
2018,8,"Nou Barris",54,"Torre Baró","Home","62 anys",11
2018,8,"Nou Barris",55,"Ciutat Meridiana","Home","62 anys",32
2018,8,"Nou Barris",56,"Vallbona","Home","62 anys",4
2018,9,"Sant Andreu",57,"la Trinitat Vella","Home","62 anys",43
