Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Age,Total
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,20-24,312
2019,10,Sant Martí,68,el Poblenou,Female,20-24,631
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,20-24,206
2019,10,Sant Martí,70,el Besòs i el Maresme,Female,20-24,673
2019,10,Sant Martí,71,Provençals del Poblenou,Female,20-24,486
2019,10,Sant Martí,72,Sant Martí de Provençals,Female,20-24,567
2019,10,Sant Martí,73,la Verneda i la Pau,Female,20-24,639
2019,1,Ciutat Vella,1,el Raval,Female,25-29,2474
2019,1,Ciutat Vella,2,el Barri Gòtic,Female,25-29,1306
2019,1,Ciutat Vella,3,la Barceloneta,Female,25-29,918
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,25-29,1462
2019,2,Eixample,5,el Fort Pienc,Female,25-29,1331
2019,2,Eixample,6,la Sagrada Família,Female,25-29,2131
2019,2,Eixample,7,la Dreta de l'Eixample,Female,25-29,1840
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,25-29,1998
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,25-29,2556
2019,2,Eixample,10,Sant Antoni,Female,25-29,1491
2019,3,Sants-Montjuïc,11,el Poble Sec,Female,25-29,1645
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,25-29,37
2019,3,Sants-Montjuïc,13,la Marina de Port,Female,25-29,962
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,25-29,405
2019,3,Sants-Montjuïc,15,Hostafrancs,Female,25-29,717
2019,3,Sants-Montjuïc,16,la Bordeta,Female,25-29,604
2019,3,Sants-Montjuïc,17,Sants - Badal,Female,25-29,903
2019,3,Sants-Montjuïc,18,Sants,Female,25-29,1558
2019,4,Les Corts,19,les Corts,Female,25-29,1532
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Female,25-29,786
2019,4,Les Corts,21,Pedralbes,Female,25-29,285
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,25-29,117
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Female,25-29,668
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,25-29,452
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,25-29,823
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,25-29,1536
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,25-29,1004
2019,6,Gràcia,28,Vallcarca i els Penitents,Female,25-29,471
2019,6,Gràcia,29,el Coll,Female,25-29,260
2019,6,Gràcia,30,la Salut,Female,25-29,434
2019,6,Gràcia,31,la Vila de Gràcia,Female,25-29,2251
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,25-29,1304
2019,7,Horta-Guinardó,33,el Baix Guinardó,Female,25-29,873
